"age","sleep","sensor1","sensor2","sensor3","sensor5","sensor6","sensor7","sensor8","sensor9"
37,"sleep",0.28,5.45,29.23,30.17,1.79,0.32,2.39,-0.58
37,"sleep",0.56,13.71,27.14,28.12,0.48,-0.05,0.72,-0.35
37,"sleep",0.43,3.14,33.01,32.51,0.13,-0.22,0.15,0.36
37,"sleep",0.44,8.74,30.08,30.63,0.86,-0.08,14.34,-0.68
30,"sleep",0.33,0.77,31.5,30.6,0,0.16,0,-0.53
32,"sleep",0.16,23.07,31.23,30.44,1.03,-0.1,1.32,1.04
31,"nosleep",0.28,19.45,31.1,30.06,19.52,0.83,28.3,-0.59
39,"sleep",0.12,0.24,34.5,33.89,3.14,-0.28,5.87,0.17
31,"nosleep",1.38,27.99,32.37,31.72,12.2,0.52,13.38,-0.25
35,"nosleep",1.94,52.56,29.27,26.99,57.68,0.8,65.52,-0.34
37,"nosleep",0.3,11.25,29.83,31.12,35.74,0.76,49.62,-0.55
43,"sleep",3.68,8.06,33.37,32.86,0.91,0.02,0.68,0.18
32,"sleep",0.07,10.42,30.84,29.45,8.77,0.32,8.83,-0.53
31,"nosleep",0.31,19.35,31.5,30.54,18.81,0.97,36.84,-0.39
32,"nosleep",3.33,66.07,28.29,27.98,1324.7,1.05,632.55,-0.25
39,"sleep",0.4,24.76,31.88,33.19,2.65,-0.26,5.42,0.48
31,"sleep",0.07,1.79,31.83,30.18,0.58,0.5,0.99,-0.25
38,"sleep",0.29,15.59,32.14,31.83,0.34,-0.55,0.57,0.88
39,"nosleep",0.64,22.1,34.36,34.95,1076.4,0.82,612.34,-0.42
39,"sleep",0.09,19.55,32.11,30.8,1.81,0.17,7.49,-0.7
43,"sleep",2.08,7.09,33.01,31.87,0.06,0.02,0,0.08
37,"sleep",0.45,14.33,28.76,30.45,2.08,0.31,0.76,-0.55
37,"sleep",0.44,6.03,31.36,32.69,0.85,-0.08,0.14,0.25
34,"nosleep",0.42,17.47,31.51,30.29,0.22,-0.83,0.08,0.61
35,"nosleep",2.02,12.98,31.39,29.96,6.53,0.93,8.12,-0.15
36,"nosleep",0.61,13.71,29.82,31.89,68.89,0.78,38.46,-0.56
30,"nosleep",0.34,14.14,29.55,29.17,62.91,0.61,63.33,-0.4
38,"nosleep",0.3,11.73,30.48,29.6,9.84,0.66,15.01,-0.53
37,"sleep",0.5,24.13,28.39,29.97,18,0.38,2.65,-0.19
32,"sleep",0.27,12.84,32.49,31.62,1.18,0.54,3.26,-0.6
31,"nosleep",0.26,14.48,29.75,28.97,5.37,0.87,17.27,-0.32
39,"sleep",0.3,2.22,33.12,32.96,1.41,-0.26,1.96,-0.01
34,"nosleep",0.24,6.42,30.36,28.08,79.59,0.95,44.49,-0.21
37,"nosleep",0.54,7.96,32.12,33.82,8.62,0.72,12.95,-0.7
30,"sleep",0.18,3.96,29.49,27.88,0.05,0.15,0.03,-0.65
34,"nosleep",4.34,3.86,32.7,33.01,75.59,1.07,49.82,-0.18
30,"sleep",0.41,3.91,32.78,32.28,0.55,-0.13,0.19,-0.21
24,"sleep",0.16,17.42,30.1,31.14,1.79,-0.74,0.09,0.45
32,"sleep",0.1,20.27,32.03,31,0,0.39,0,-0.88
31,"nosleep",0.07,32.14,29.72,28.56,224.11,0.92,164.47,-0.23
36,"nosleep",0.5,13.47,28.72,29.75,12.95,0.8,18.79,-0.57
34,"nosleep",0.42,0.05,32.98,31.89,57.63,0.86,45.07,-0.15
30,"sleep",0.51,9.99,30.97,29.9,0.02,-0.17,0,-0.66
32,"sleep",0.21,8.11,31.9,31.33,1.43,-0.01,1.32,1
37,"nosleep",0.96,20.41,31.8,33.59,134.43,0.67,134.85,-0.48
37,"sleep",0.58,15.73,28.11,28.93,13.93,0.01,17.44,-0.89
30,"sleep",0.33,1.21,31.46,30.58,0.02,0.16,0,-0.53
39,"sleep",0.39,4.3,34.1,33.97,4.89,0.33,12.9,-0.36
39,"nosleep",0.45,36.77,32.94,33.02,743.77,0.86,508.97,-0.5
37,"sleep",0.45,2.46,31.58,32.52,0.36,-0.01,0.54,-0.9
37,"sleep",0.47,4.63,31.41,32.02,0.83,0.13,1.85,-0.51
32,"nosleep",18.19,56.85,31.99,32.2,194.5,0.28,208.57,-0.83
32,"sleep",0.28,9.6,33.76,32.6,1.25,0.38,1.34,-0.71
30,"sleep",0.35,12.69,31.02,31.13,0,-0.95,0,0.46
24,"nosleep",0.19,2.12,34.39,33.83,1.34,0.12,2.12,-0.17
39,"sleep",0.29,19.26,31.68,30.58,2.4,-0.97,3.5,0.53
43,"nosleep",5.61,12.31,33.56,32.92,0,0.5,0,0.57
38,"sleep",0.26,11.44,30.58,30.05,6.2,0.43,11.24,-0.37
32,"sleep",0.05,23.5,31.7,31.02,0.09,0.5,0.03,-0.45
38,"sleep",1.2,9.85,31.9,30.76,0.64,0.19,0.75,-0.67
32,"nosleep",0.04,20.37,31,30.11,16.55,0.6,52.31,-0.7
34,"nosleep",4.84,13.32,32.04,31.44,147.72,0.98,113.06,-0.08
31,"nosleep",0.28,15.01,32.04,30.84,18.89,0.56,49.44,-0.53
35,"nosleep",0.24,17.76,29.2,27.22,19.4,0.35,19.99,-0.18
37,"sleep",0.66,18.05,29.5,30.67,41.28,0.24,59.74,-0.81
37,"sleep",0.34,10.76,29.93,30.76,0.42,0.46,1.71,-0.62
38,"sleep",0.42,8.49,32.19,31.72,0.45,0.21,0.78,-0.4
38,"sleep",0.33,4.83,32.29,31.48,0.22,-0.17,0.98,-0.45
32,"nosleep",0.12,17.86,30.3,29.45,5.6,0.48,15.18,-0.74
32,"nosleep",0.03,22.88,30.11,30.09,2.38,0.45,4.56,-0.88
37,"nosleep",0.56,-3.33,33.08,34.79,162.56,0.6,77.72,-0.48
39,"sleep",0.18,3.67,33.23,32.7,5.16,-0.19,5.49,-0.19
31,"nosleep",0.51,25.05,32.2,31.35,18.27,0.85,36.99,-0.56
34,"nosleep",0.91,27.17,32.64,31.94,278.09,1.31,261.72,0.36
37,"sleep",0.59,6.71,30.91,31.88,0.39,0.05,0.35,-0.48
32,"sleep",0.07,21.43,31.66,30.47,0.13,0.18,0.02,-1.02
37,"nosleep",0.53,12.79,31.71,33.08,1.36,0.41,35.42,-0.78
39,"nosleep",0.63,6.9,32.6,31.19,225.38,0.28,183.54,-0.03
37,"sleep",0.58,10.62,27.92,28.37,1.58,0.09,1.85,-0.99
31,"nosleep",0.21,18.63,30.75,28.76,204.3,0.88,147.42,-0.29
31,"sleep",2.45,8.93,31.07,30.32,2.45,0.03,5.88,-1.24
29,"nosleep",0.28,3.28,28,26.85,91.93,0.83,134.1,-0.16
30,"sleep",0.28,14.33,30.27,29.22,0,0.27,0,-0.95
39,"sleep",0.56,-2.08,34.77,34.37,4.84,-0.17,3.85,0.66
37,"nosleep",0.55,13.03,31.24,32.58,123.89,0.9,87.38,-0.06
38,"nosleep",2.04,33.73,30.55,29.27,76.46,0.41,109.07,-0.53
31,"nosleep",0.43,17.42,31.15,29.88,37.32,0.81,39.16,-0.25
37,"nosleep",0.33,15.15,29.16,30.53,82.51,0.95,126.48,-0.23
24,"nosleep",0.2,26.3,27.48,26.78,95.5,0.56,103.29,-0.52
35,"nosleep",0.52,11.63,32.84,31.67,0.61,1,1.65,-0.41
32,"sleep",0.06,18.05,31.78,30.62,7.25,-0.4,11.5,-0.4
37,"sleep",0.45,15.49,28.53,30.35,1.23,0.31,0.72,-0.54
31,"nosleep",1.3,25.29,30.63,29.71,17.42,0.6,22.76,-0.76
31,"sleep",0.03,17.71,30.76,28.87,1.15,0.45,1.23,0.07
30,"sleep",0.75,3.57,32.67,32.02,0,-0.11,0,-0.97
38,"nosleep",0,0,0,-273.15,14.38,0.85,16.36,-0.38
34,"nosleep",0.2,13.51,28.57,27.11,91.6,0.37,89.95,-0.54
30,"nosleep",0.46,6.56,32.82,31.77,2.78,0.89,6.01,-0.36
30,"sleep",1.24,6.95,30.71,29.67,0.09,0.01,0,-0.44
36,"sleep",0.58,10.33,29.31,30.11,0.98,0.27,1.18,-0.83
37,"sleep",0.35,4.58,32.03,31.28,0.46,-0.22,0.82,0.15
37,"sleep",0.53,3.28,30.47,31.75,1.38,-0.15,1.15,-1.04
31,"nosleep",0.21,16.46,30.2,29.36,1.25,-0.03,1.15,-1
24,"sleep",0.12,8.88,30.64,29.91,0.27,0,0.56,-0.75
38,"sleep",0.5,9.6,31.01,29.94,0.45,0.08,0.53,-0.35
39,"sleep",0.36,6.47,33.5,32.59,2.57,0.22,4.33,-0.62
36,"sleep",0.43,13.08,29,29.9,0.34,0.39,0.89,-0.79
38,"sleep",0.45,12.02,31.26,29.83,0.44,-0.09,0.43,0.22
39,"sleep",0.55,1.06,33.98,33.93,3.34,-0.36,8.3,0.5
30,"nosleep",0.33,12.98,31.03,29.9,15.88,0.78,18.17,-0.58
36,"nosleep",0.89,4.44,33.81,35.22,67.49,0.34,61.51,-0.87
38,"sleep",0.25,9.36,30.93,29.89,0.06,-0.06,1.06,-0.57
39,"sleep",0.15,1.54,34.37,33.59,3.19,-0.24,5.69,0.21
38,"sleep",0.17,6.23,32.34,31.15,7.94,-0.1,12.96,-0.2
37,"sleep",0.16,16.55,30.87,32.71,126.53,0.86,178.4,-0.36
35,"nosleep",0.33,10.81,31.97,30.71,20.75,0.86,42.54,-0.33
39,"sleep",0.59,8.4,33.94,32.4,1.5,0.05,4.42,-1
39,"nosleep",0.23,8.3,34.01,33.7,362.85,0.97,289.6,-0.13
30,"sleep",0.31,7.77,30.51,29.5,0,0.18,0.02,0.9
24,"nosleep",0.12,9.51,34.46,34.41,1.54,0.4,0.26,-0.62
32,"sleep",0.14,9.46,34.13,33.27,3.51,-0.23,8.96,-0.72
39,"sleep",0.13,7.29,33.45,31.77,4.65,-0.05,6.54,-0.67
36,"nosleep",0.82,16.55,29.41,31.12,83.87,0.65,49.53,-0.57
32,"nosleep",0.59,15.68,33.72,32.96,275.86,0.95,217.88,-0.23
43,"sleep",2.54,30.5,31.47,30.89,105.18,0.77,52.69,0.29
31,"sleep",0.27,0.24,31.99,31.41,1.38,0.26,1.92,-0.77
39,"sleep",0.16,5.89,33.02,32.64,1.89,0.23,3.34,0.23
32,"sleep",0.06,4.63,33.8,32.76,1.18,0.03,1.07,-0.91
34,"nosleep",0.34,9.07,31.7,30.59,26.89,0.87,23.5,0
31,"nosleep",0.35,11.2,31.68,30.33,62.19,0.65,70.88,-0.18
32,"nosleep",0.13,20.41,32.66,31.66,5.16,0.39,8.84,-0.93
24,"nosleep",0.08,8.59,32.2,31.49,149.26,0.87,144.67,-0.44
37,"sleep",0.28,5.84,29.26,30.42,1.8,0.32,2.41,-0.58
39,"nosleep",0.2,28.81,31.98,31.81,386.35,0.95,408.83,-0.11
24,"sleep",0.19,11.44,31.97,31.65,0.99,-0.02,1.3,-1.03
36,"sleep",0.73,9.41,30,30.22,2.01,0.23,2.68,-1.01
37,"sleep",0.33,9.12,32.06,32.1,0.62,-0.2,1.07,0.79
34,"sleep",0.53,-3.67,33.8,33.07,0.31,0.56,0.25,1.03
38,"nosleep",0.39,13.18,32.16,31.39,0.1,0.03,0.5,0.55
39,"nosleep",0.17,11.68,32.37,31.66,54.13,0.79,55.16,-0.59
39,"sleep",0.42,2.94,34.1,32.61,2.81,0.6,9.26,-0.66
38,"nosleep",0.26,11.25,31.01,29.63,119.79,0.69,159.41,-0.42
30,"nosleep",0.36,7.24,32.26,31.4,0.63,-0.13,0.09,-0.22
31,"nosleep",0.99,27.99,32.8,32.12,146.34,0.93,119.97,-0.24
24,"sleep",0.11,5.74,31.67,31.21,0.04,-0.13,1.3,-0.08
31,"nosleep",0.14,14.91,31.79,30.48,7.56,0.69,13.08,-0.41
39,"nosleep",0.35,34.65,32.85,33.32,480.51,0.79,391.73,-0.51
36,"nosleep",0.52,56.18,27.27,30.69,400.33,0.77,201.42,-0.65
37,"nosleep",0.39,27.07,29.36,31.47,34.41,0.08,41.08,-0.54
24,"nosleep",0.16,24.81,26.7,25.86,89.52,0.8,95.66,-0.34
37,"nosleep",0.37,8.74,30.57,31.91,18.77,0.45,24.92,-0.46
32,"nosleep",0.15,20.51,32.85,31.77,3.61,0.41,4.51,-0.92
31,"nosleep",0.51,15.78,31.86,30.22,17.69,0.91,30.76,-0.31
39,"nosleep",0.7,16.46,35.28,35.94,951.12,0.81,412.38,-0.46
36,"sleep",0.43,5.07,29.34,30.72,0.09,-0.17,0.07,-0.96
39,"nosleep",0.78,56.56,30.22,31.68,728.86,0.84,442.25,-0.53
34,"nosleep",0.16,2.36,31.65,30.8,69.49,1.15,43.94,-0.04
30,"sleep",0.4,4.73,32.05,31.19,0.02,0.01,0,-0.51
38,"sleep",0.2,3.19,31.08,30.18,0.48,-0.31,1.2,-0.02
31,"nosleep",0.28,18.68,30.99,29.95,17.77,0.89,28.65,-0.54
36,"sleep",0.43,21.23,27.19,28.63,1.97,0.27,7.48,-0.68
39,"sleep",0.62,19.79,32.15,31.44,2.58,0.06,8.38,-1.03
34,"nosleep",0.22,21.81,29.21,27.56,17.43,1.05,14.32,-0.32
37,"nosleep",0.31,14.48,30.41,32.04,141.73,0.85,118.28,-0.37
31,"nosleep",0.46,36.44,30.51,29.69,349.78,0.8,350.37,-0.56
34,"nosleep",0.36,4.05,32.33,31.04,112.04,0.81,58.67,-0.16
36,"sleep",0.67,4.68,32.07,33.05,0.2,0.07,1.09,-1.01
39,"sleep",0.43,0.92,33.89,32.27,2.15,-0.02,6.43,-0.17
36,"sleep",0.44,4.63,30.29,31.22,0.83,-0.08,0.07,-0.84
34,"nosleep",0.29,16.26,32.09,31.32,224.87,0.96,176.45,0.01
32,"nosleep",0.14,20.85,30.46,29.52,2.06,0.37,1.45,-0.56
36,"sleep",0.67,1.5,32.26,33.25,0.6,-0.13,1.52,-0.51
35,"sleep",1.78,0.1,32.37,30.92,0.02,0.69,0,-0.75
34,"nosleep",0.49,19.64,32.94,31.55,2.16,1.06,3.75,-0.33
30,"nosleep",0.17,13.22,30.16,29.18,11.09,0.72,15.89,-0.51
37,"sleep",0.53,21.04,28.97,30.36,10.02,0.36,0.98,-0.41
32,"nosleep",0.17,8.4,31.9,31,95.06,0.62,83.14,-0.43
39,"nosleep",1.14,32.96,33.72,33.26,1378.1,0.95,820.85,-0.25
36,"sleep",0.64,3.67,31.68,32.77,0.41,-0.14,0.26,-0.92
37,"sleep",0.59,9.36,30.72,31.34,10.78,0.13,14.87,-0.91
35,"nosleep",0.44,21.14,30.22,28.77,153.37,0.92,147.38,-0.38
38,"sleep",1.17,7.24,31.28,30.09,0.1,0.23,0.47,0.17
32,"sleep",0.27,10.52,33.15,33.06,0,-0.39,0,0.38
37,"sleep",0.4,3.76,30.06,31.2,0.94,-0.24,1.57,-0.56
39,"nosleep",0.57,49.61,28.63,29.74,703.48,0.86,430.76,-0.37
35,"nosleep",0.37,19.55,31.38,29.9,97.28,0.92,64.61,-0.27
32,"nosleep",0.12,28.81,30.16,29.85,3,0.4,7.17,-0.66
34,"nosleep",0.52,16.6,32.67,31.56,22.63,0.52,15.12,-0.58
39,"sleep",0.55,2.46,33.7,33.06,2.79,-0.26,3.9,0.11
38,"nosleep",0.33,11.53,32.08,31.15,4.91,0.85,7.69,-0.19
37,"nosleep",0.3,16.55,29.41,31.03,162.05,0.89,125.61,-0.31
38,"sleep",0.3,7.63,32.41,31.78,0.11,-0.08,0.62,-0.98
37,"sleep",0.48,16.12,28.97,29.95,11.23,-0.08,0.33,-0.79
38,"nosleep",0.43,60.33,27.67,27.16,266.54,0.89,178.87,-0.35
31,"sleep",0.92,47.73,29.74,29.91,0.8,-0.65,0.93,0.75
32,"sleep",0.11,9.85,32.85,32.44,37.23,0.08,49.85,-0.38
39,"sleep",0.43,7.67,32.11,30.82,1.48,-0.08,7.92,-1.04
38,"sleep",0.43,8.25,32.7,32.21,0.15,0.26,0.93,-0.22
34,"nosleep",0.43,1.35,30.07,29.06,3.26,1.09,3.62,-0.12
36,"sleep",0.52,5.45,32,32.99,1.05,0.13,0.39,-0.9
32,"sleep",0.1,12.16,30.86,29.66,24.77,0,45.55,-0.57
34,"nosleep",0.49,10.38,31.44,29.91,2.48,1.09,5.67,-0.27
34,"nosleep",0.47,16.36,31.53,30.29,20.72,0.68,19.12,0.24
34,"nosleep",0.59,9.51,32.33,31.06,65.45,0.91,99.07,-0.44
32,"sleep",0.61,11.92,31.71,30.85,1.1,0.25,1.58,-0.25
35,"sleep",0.32,-5.5,33.7,32.27,0.02,0.26,0,-0.93
38,"sleep",0.51,2.9,32.61,31.22,0.8,0.01,1.38,0.16
30,"nosleep",0.35,9.94,29.89,28.89,27.24,0.43,51.78,-0.34
37,"nosleep",0.43,11.34,30.41,31.67,29.87,0.69,40.18,-0.26
35,"nosleep",0.43,18.24,31.82,30.57,42.77,0.88,39.41,-0.41
31,"nosleep",0.03,27.36,30.92,29.48,10.47,0.41,11.21,0.06
32,"nosleep",18.27,62.16,30.28,29.45,127.46,0.28,137.74,-0.29
31,"nosleep",0.28,17.57,30.46,29.52,8.8,0.63,15.02,-0.86
38,"nosleep",0.27,11.63,31.36,30.23,10.11,0.74,14.71,-0.61
31,"sleep",0.11,1.21,32.82,31.65,1.17,0.42,1.06,-0.09
37,"sleep",0.77,5.36,31.19,32.13,0.24,-0.06,0.4,-0.37
32,"sleep",0.07,26.54,31.28,30.69,0.11,-0.09,0,0.99
37,"nosleep",0.68,14.72,30.89,32.5,31.16,0.81,37.37,-0.48
31,"sleep",2.57,8.88,31.38,30.67,2.5,0.03,5.07,-1.24
38,"nosleep",0.34,14.62,31.37,30.16,14.18,0.83,14.94,-0.08
30,"nosleep",0.12,12.31,29.77,28.19,45.47,0.55,46.71,-0.62
37,"sleep",0.27,16.6,31.77,31.02,0.32,-0.54,0.64,0.84
36,"sleep",0.57,7.63,29.41,30.53,1.04,0.04,0.32,-0.54
32,"sleep",0.15,7.24,31.43,30.5,1.19,0.59,1.81,-0.41
36,"sleep",0.54,5.16,30.09,31.6,1.22,-0.04,0.65,0.2
35,"nosleep",0.55,8.64,31.66,30.29,0.26,0.82,0.08,-0.09
37,"nosleep",0.27,11.73,32.18,31.15,0.32,0.89,0.16,-0.06
32,"sleep",0.06,13.8,33.17,32.63,0.1,-0.07,0,-0.04
38,"sleep",0.33,6.56,30.35,29.24,3.07,-0.13,5.84,-0.54
34,"nosleep",0.23,10.04,31.85,30.65,19.89,0.81,24.02,-0.26
32,"nosleep",1.12,22.68,34.18,33.5,605.78,0.92,422.4,-0.25
39,"nosleep",0.32,19.88,31.58,30.57,171.23,0.88,354.58,0.12
37,"nosleep",0.25,15.88,31.67,31.06,95.98,0.75,52.79,-0.31
39,"sleep",0.17,2.56,33.79,33.32,3.61,-0.24,4.43,-0.09
24,"sleep",0.07,5.12,31.3,30.64,0.84,-0.26,0.86,0.02
35,"nosleep",0.41,12.4,31.59,29.92,25.71,0.96,17.65,-0.22
35,"nosleep",0.66,47.01,27.45,25.83,1631.3,0.88,1305.4,-0.41
38,"sleep",7.71,1.06,32.9,31.91,0.89,-0.05,0.39,-0.23
37,"sleep",0.34,8.78,29.32,30.31,1.22,0.16,0.37,-0.9
32,"sleep",0.27,11.68,32.61,31.9,1.04,0.54,2.58,-0.6
31,"nosleep",0.3,21.52,30.57,28.66,21.52,0.57,32.19,-0.46
32,"nosleep",7.63,66.02,29.23,29.17,213.36,0.37,228.6,-0.77
32,"sleep",0.05,-3.52,33.31,31.63,0.48,-0.21,1.22,1.04
32,"sleep",0.23,2.75,34.44,34.44,0,-0.07,0.02,0.22
37,"nosleep",0.57,10.67,30.84,32.39,64.08,0.43,55.56,-0.57
36,"sleep",0.35,14.48,27.82,29.29,0.68,0.48,1.63,-0.38
38,"sleep",0.16,7.05,31.97,31.56,0.3,-0.14,0.23,0
39,"nosleep",0.44,23.65,31.48,30.57,315.32,0.96,181.24,-0.21
30,"nosleep",0.36,12.84,30.54,29.41,8.94,0.75,14.83,-0.63
30,"nosleep",0.24,10.91,30.8,29.73,59.42,0.66,86.17,-0.65
40,"nosleep",0.35,34.94,29.59,29.84,160.48,0.89,188.57,0.18
39,"sleep",0.35,3.81,34.2,33.23,1.25,-0.08,10.9,0.89
32,"sleep",0.22,9.89,32.44,32.51,3.43,-0.26,6.13,0.6
37,"nosleep",0.43,14.53,29.72,31.33,20.96,0.3,24.81,-0.62
37,"sleep",0.28,17.42,28.06,29.07,1.92,0.33,3.6,-0.46
37,"nosleep",0.36,11.87,30.46,31.91,2.3,-0.73,3.52,0.79
35,"nosleep",0.28,15.73,29.91,27.92,24.57,1.13,23.26,-0.1
34,"nosleep",0.59,8.45,30.59,28.61,73.81,0.98,40.16,-0.33
38,"sleep",0.34,7.38,32.16,32.06,0.93,-0.1,0.99,-0.41
34,"nosleep",0.13,14.53,30.22,29.17,29.82,0.82,33.36,-0.6
34,"nosleep",0.27,6.85,31.34,30.13,305.82,1.01,137,-0.29
38,"sleep",0.37,16.07,31.84,31.63,0.04,-0.41,0.15,0.72
32,"sleep",0.2,11.73,31.7,30.82,1.11,-0.09,1.54,-0.74
38,"nosleep",0.25,8.88,30.98,29.92,10.33,0.77,17.15,-0.54
31,"sleep",0.11,19.4,32.3,31.17,0.33,-0.2,0.85,0.49
35,"nosleep",0.31,17.95,30.98,29.7,20.92,0.88,20.71,-0.43
37,"sleep",0.39,0.05,32.24,31.26,0.16,-0.05,0.48,0.21
38,"sleep",0.2,5.74,30.89,29.71,0.33,-0.11,0.84,-0.1
24,"nosleep",0.25,24.81,29.29,29.11,61.91,0.71,72.18,-0.6
35,"nosleep",0.48,8.78,30.94,29.93,0.73,0.94,3.37,-0.26
38,"sleep",0,0,0,-273.15,19.17,0.34,23.51,-0.72
34,"nosleep",1.59,12.79,32.72,32.39,135.31,0.71,65.91,-0.22
35,"nosleep",0.28,25.29,28.92,26.79,314.27,1.07,218.33,-0.24
35,"nosleep",0.36,13.37,31.29,30.29,17.06,0.91,15.61,-0.42
35,"nosleep",0.3,20.85,29.84,28.71,32.56,0.84,40.79,-0.5
30,"nosleep",0.68,19.26,30.24,29.13,98.32,0.75,101.54,0
24,"nosleep",0.23,18.15,27.73,27.21,15.63,0.78,20.6,-0.15
34,"nosleep",0.36,10.67,31.34,30.04,72.61,0.9,93.71,-0.18
36,"sleep",0.42,6.85,28.95,29.47,1.34,-0.04,2.33,-0.81
35,"nosleep",0.33,15.49,30.93,29.96,17.84,0.81,16.44,-0.43
34,"nosleep",3.73,4.25,32.08,31.4,70.53,0.64,96.67,-0.08
39,"sleep",0.2,5.02,33.91,32.63,3.51,0.03,6.27,-0.8
38,"nosleep",0.43,50.09,28.58,27.02,1524.4,0.94,856.12,-0.37
38,"nosleep",0.2,15.06,31.36,30.2,81.9,0.53,78.4,-0.36
34,"nosleep",1.95,12.45,32.61,31.51,125.72,0.92,80.33,-0.34
39,"sleep",0.31,2.22,34.1,32.78,3.41,-0.23,7.29,0.08
39,"nosleep",0.43,34.75,31.45,30.67,207.6,0.98,131.42,-0.02
30,"nosleep",0.36,15.64,30.48,29.48,25.29,0.57,41.76,-0.7
32,"sleep",0.16,5.45,33.61,32.05,1.75,0.56,0.64,-0.68
34,"sleep",0.24,14.29,29.61,29.35,0.02,-0.43,0.43,0.62
39,"nosleep",0.27,28.67,29.75,28.67,562.94,0.86,397.91,-0.32
31,"nosleep",0.29,11.63,30.87,28.66,16.41,0.86,26.21,-0.47
36,"sleep",0.64,16.31,29.24,30.08,1.96,0.27,0.39,-0.9
31,"nosleep",0.25,14.48,30.5,29.34,99.4,0.23,109.15,-0.4
38,"sleep",0.39,16.6,29.86,30,0.19,-0.26,0.3,0.25
39,"sleep",0.17,-0.19,34.69,34.18,3.12,-0.31,4.37,0.79
37,"sleep",0.24,16.12,30.03,29.17,4.55,-0.52,9.86,0.65
34,"nosleep",0.24,14.72,31.1,29.8,0.81,0.92,0.35,-0.18
38,"sleep",0.26,21.62,30.81,30.63,17.3,-0.23,26.92,-0.48
37,"sleep",0.41,6.52,31.36,30.71,0.61,-0.09,1.01,-0.23
30,"sleep",1.01,17.08,30.61,30.08,0.05,-0.04,0,0.97
39,"nosleep",0.37,24.76,32.47,31.77,159.5,0.83,187.17,-0.1
39,"nosleep",0.26,10.09,32.89,32.35,56.59,0.63,99.46,-0.46
32,"nosleep",0.2,20.61,32.93,31.92,8.47,0.11,15.12,-0.44
39,"nosleep",0.28,7.72,33.14,31.68,82.04,0.85,47.65,-0.37
31,"sleep",0.24,14.19,31.75,31.35,1.34,0.4,1.2,-1.11
40,"sleep",0.14,2.85,34.01,33.36,1.67,-0.01,3.74,-0.44
38,"sleep",0.39,-1.16,31.51,30.51,6.5,0.52,9.69,-0.32
43,"nosleep",0.67,26.83,29.56,28.88,40.67,0.97,23.5,0.37
35,"nosleep",0.2,16.02,29,26.88,63.8,1.02,23.3,-0.24
31,"nosleep",1.95,23.55,31.06,30.33,10.9,0.93,15.43,-0.31
30,"nosleep",0.33,16.26,30.76,29.71,2.39,0.73,4.24,-0.67
39,"nosleep",0.37,28.47,33.5,33.68,939.71,0.84,382.52,-0.51
29,"sleep",0.57,1.93,29.89,27.57,0,0.08,0.07,-0.94
38,"nosleep",0.25,13.71,30.71,29.44,2.83,0.7,6.38,0.47
32,"sleep",0.03,13.22,30.51,30.39,0.91,-0.19,1.19,0.51
35,"nosleep",0.17,7.67,31.22,30.28,298.53,0.95,150.64,-0.26
24,"sleep",0.07,19.69,28.92,28.26,3.45,0.14,1.26,-0.48
36,"sleep",0.53,9.99,29.85,30.94,0.49,-0.05,0.98,-0.89
34,"nosleep",0.34,-2.12,33.12,32.28,17.09,1.1,11.94,-0.12
30,"nosleep",0.29,16.99,29.9,29.04,25.12,0.4,40.68,-0.8
32,"sleep",0.24,0.05,34.99,34.79,5.32,0.16,3.92,-0.23
37,"sleep",0.21,11.15,31.18,31.17,0.09,-0.31,0.22,0.56
32,"nosleep",0.11,20.9,29.99,29.19,8.44,0.76,13.39,-0.44
37,"nosleep",0.34,10.96,30.47,31.73,37.54,0.9,57.73,0.08
31,"sleep",1.96,31.03,28.66,28.28,0.56,0.55,2.57,-0.1
25,"nosleep",0.9,7.19,32.44,31.36,0.1,-0.06,0.1,-0.74
36,"sleep",0.43,3.86,30.34,31.38,3.49,-0.07,5.62,-0.4
31,"nosleep",0.47,19.79,32.26,31.48,32.31,0.94,40.15,-0.25
34,"nosleep",1.38,8.93,32.42,31.89,312.75,1.06,180.05,-0.08
34,"nosleep",0.17,14.14,30.98,30.09,18.67,0.66,18.12,-0.06
32,"sleep",0.24,21.23,32.98,32.19,1.15,-0.1,1.19,0.87
43,"nosleep",0.15,-2.03,14.48,15.32,0,-0.01,0,0.3
31,"nosleep",0.29,17.18,31.36,30.17,11.45,0.64,23.72,-0.59
36,"sleep",0.67,4.1,30.91,32,0.63,-0.02,0.81,-0.31
38,"sleep",0.43,5.26,31.26,30.21,0.35,-0.27,0.24,-0.17
29,"nosleep",0.41,5.5,27.51,25.52,45.38,0.88,68.72,-0.4
38,"nosleep",0.59,66.16,29.28,30.47,1591.4,0.92,806.78,-0.3
24,"sleep",0.28,3.43,33,33.01,0.42,-0.29,0.21,-0.29
37,"sleep",0.22,7,32.53,31.39,0.22,-0.19,0.53,-0.17
30,"sleep",0.29,13.47,28.71,27.42,0.61,0.15,1.02,0.67
39,"nosleep",0.24,66.5,30.08,30.66,834.09,0.85,373.71,-0.5
39,"sleep",0.12,4.05,34.32,33.78,5.85,0.19,2.63,-0.81
32,"sleep",0.07,24.08,32.81,32.57,0.26,-0.37,0.25,0.9
39,"sleep",0.63,-0.29,34.74,33.85,6.19,0.73,5.78,-0.46
32,"nosleep",0.16,22.49,29.65,28.95,16.48,0.43,40.06,-0.65
