"age","tv","sensor1","sensor2","sensor3","sensor5","sensor6","sensor7","sensor8","sensor9"
39,"ntv",0.15,2.65,32.9,32.12,1.69,-0.13,13.34,-0.35
35,"ntv",0.28,17.08,29.99,28.79,56.74,0.89,53.78,-0.48
31,"ntv",0.24,18.1,30.36,29.93,3.61,-0.28,18.49,-0.35
37,"wtv",0.33,12.16,28.58,30,50.11,0.63,48.8,-0.74
35,"wtv",0.15,10.28,30.86,29.37,11.73,1,13.91,-0.29
38,"wtv",0.54,10.57,32.99,32,2.1,0.46,4.42,-0.62
37,"wtv",0.38,5.5,31.28,32.45,24.63,0.53,36.42,-0.55
35,"ntv",0.63,24.9,29.11,27.83,105.82,1.11,76.37,-0.2
34,"wtv",0.24,11.63,31.9,30.78,7.26,0.95,6.61,-0.42
31,"ntv",0.19,21.48,31.74,30.07,1.23,0.25,2.45,-0.49
35,"ntv",0.4,14.24,31.94,30.85,26.8,0.84,32.32,-0.57
38,"wtv",0.46,11.34,32.09,31.5,4.05,0.46,3.44,-0.81
35,"ntv",2.45,63.22,27.2,25.91,1619.2,0.89,1355.8,-0.51
25,"wtv",0.99,4.01,33.34,32.33,0.02,0.11,0,-0.7
39,"ntv",2.86,28.18,35.21,35.63,750.55,0.85,411.05,-0.48
39,"ntv",0.42,52.22,28.9,29.29,391.67,0.69,178.36,-0.63
31,"ntv",0.42,24.76,31.97,30.87,5.69,0.52,22,0.1
30,"wtv",0.32,9.65,31.09,30.16,10.63,0.72,17.74,-0.64
39,"ntv",0.75,16.94,34.17,34.27,764.46,0.84,466.54,-0.12
31,"ntv",0.6,15.01,30.87,29.95,0.5,0.22,3.02,0.05
35,"ntv",0.28,4.05,33.2,31.6,5.33,0.94,4.82,-0.09
34,"wtv",0.16,11,31.3,30.16,24.38,0.74,24.55,-0.42
24,"wtv",0.19,4.68,33.07,32.4,17.21,0.13,22.62,-0.2
36,"ntv",0.36,20.99,27.76,29.43,0.39,0.22,2.05,-0.62
38,"ntv",0,0,0,-273.15,11.5,0.21,13.29,-0.28
31,"wtv",0.27,20.17,32.53,31.72,1.58,0.69,1.57,-0.14
38,"wtv",0.46,14.19,31.99,31.33,2,0.81,1.18,-0.26
39,"ntv",0.12,2.41,34.69,34.12,2.38,0.03,5.85,-0.64
34,"wtv",1.68,0.34,32.94,32.16,7.46,0.98,5.06,0.08
39,"ntv",0.37,19.11,30.26,29.74,161.81,0.91,162.02,-0.24
34,"wtv",0.43,10.14,30.56,29.21,1.74,0.73,1.75,-0.19
38,"wtv",0.58,7,32.5,31.54,0.06,0.92,0.7,0.16
30,"ntv",0.52,5.16,32.67,32.72,1.2,-0.05,1.92,-0.64
39,"ntv",0.35,19.01,30.27,30.26,562.11,0.88,418.48,-0.16
34,"wtv",0.45,8.4,30.88,29.54,0,0.97,0.18,-0.32
30,"wtv",0.17,15.73,28.63,27.49,1.02,0.32,2.75,-0.87
35,"wtv",0.27,12.26,31.08,29.63,14.89,1.01,16.08,-0.25
39,"ntv",0.34,19.11,32.8,32.05,135.17,0.71,102.78,-0.3
38,"wtv",0.42,9.6,31.03,29.87,0.16,0.84,0.14,-0.24
38,"wtv",0.26,6.32,32.82,31.74,6.09,-0.11,11.73,-0.5
24,"wtv",0.15,6.27,33.43,32.93,12.47,-0.54,17.11,-0.36
37,"wtv",0.25,11.78,31.87,30.54,2.78,0.75,4.22,-0.2
32,"ntv",0.07,11.78,32.73,31.89,0.09,0.61,0.03,-0.63
34,"ntv",0.43,13.08,30.75,29.59,67.96,0.53,82.69,-0.47
34,"ntv",0.58,-1.93,31.83,31.31,56.73,1.02,43.96,-0.16
38,"ntv",0.71,20.99,30.29,29.17,1483.4,0.93,754.57,-0.32
38,"wtv",0.2,12.98,31.31,30.03,64.01,0.8,80.06,-0.15
39,"ntv",0.28,10.52,32.13,31.94,10.9,0.68,17.19,-0.67
35,"wtv",0.47,1.5,32.08,30.57,4.23,1.12,4.44,-0.17
37,"ntv",0.38,16.36,30.01,31.09,30.19,0.03,41.41,0.01
35,"ntv",0.65,27.65,29.18,28.01,31.73,1.13,25.96,-0.12
30,"ntv",0.57,27.7,29.5,28.48,0,-0.08,0.02,-0.99
43,"wtv",5.49,10.04,34.08,33.66,0.06,0.49,0,0.57
37,"ntv",0.45,16.26,29.96,31.86,43.26,0.98,36.21,-0.2
35,"wtv",0.42,11.68,31.71,30.56,30.56,1.1,25.03,-0.22
32,"ntv",0.09,3.91,33.84,32.99,0.12,-0.27,0,0.74
38,"ntv",0.31,8.06,32.72,31.98,17,0.34,23.26,0.73
34,"ntv",0.51,19.69,32.93,31.99,6.94,1.01,7.35,-0.36
34,"wtv",0.2,4.54,32.37,31,19.35,0.91,15.75,-0.48
31,"wtv",0.34,22.73,32.09,31,0.76,0.39,2.07,-0.41
36,"ntv",0.5,4.92,31.48,32.5,9.99,-0.08,0.43,-0.61
35,"wtv",0.42,9.75,31.9,30.65,23.08,1.03,26.95,-0.17
30,"ntv",0.36,22.78,29.84,29,0,-0.31,0,0.68
38,"wtv",0.62,5.94,32.67,31.76,0.16,0.91,0.62,0.06
38,"wtv",0.43,13.95,31.92,31.5,16.59,0.26,24.92,-0.77
39,"ntv",0.4,87.54,26.98,28.97,1080.4,0.82,522.25,-0.49
35,"ntv",0.69,19.98,30.46,29.39,238.89,1,162.51,-0.34
43,"wtv",5.57,11.78,33.68,33.09,0,0.49,0,0.57
35,"wtv",0.43,8.25,32.13,31.23,18.32,0.09,19.69,0.44
38,"ntv",0.37,3.28,32.72,31.85,0,-0.12,0.42,-0.54
35,"ntv",0.22,4.68,32.37,30.93,6.84,0.85,7.43,-0.28
35,"ntv",0.26,15.06,30.78,29.41,43.21,0.95,40.68,-0.44
39,"ntv",1.2,46.04,28.33,27.21,617.6,0.86,377.22,-0.51
37,"ntv",0.58,3.76,32.13,31.07,0.09,-0.06,0.33,-0.17
38,"wtv",0.39,13.13,32.14,31.41,0.27,0.04,0.42,0.57
30,"ntv",0.27,15.11,30.63,29.05,1.49,0.81,1.86,-0.57
34,"wtv",0.38,7.96,31.8,30.16,3.1,1.14,2.5,-0.06
35,"wtv",0.19,30.6,28.39,26.99,0.63,-0.76,0.92,0.68
36,"ntv",0.53,14.04,28.84,29.32,0.36,0.18,7.66,-0.94
38,"ntv",0.19,1.35,32.5,31.65,0.09,-0.23,0.49,0.4
31,"wtv",0.59,18.92,31.19,30.94,10.63,0.8,19.25,-0.53
31,"ntv",0.35,15.06,31.7,30.35,35.08,0.62,37.65,-0.07
39,"ntv",0.24,19.79,30.4,29.9,106.9,0.92,102.67,-0.26
36,"wtv",0.7,10.91,29.93,31.53,15.05,0.42,19.61,-0.9
31,"wtv",0.28,15.83,31.31,29.73,0.3,0.4,0.34,-0.74
39,"ntv",0.36,11.87,30.71,30.08,127.85,0.57,70.83,-0.44
30,"ntv",0.55,1.54,29.9,29.24,0,0.08,0,-0.76
34,"ntv",3.36,20.95,31.37,30.76,316.41,0.97,187.82,-0.29
35,"ntv",0.59,8.49,30.85,28.53,31.15,1.01,19.83,-0.23
31,"ntv",0.12,14.82,31.81,30.6,79.32,0.73,109.63,-0.59
32,"ntv",0.08,23.65,32.38,31.68,36.02,0.66,45.44,-0.42
30,"ntv",0.39,13.47,30.54,29.43,0,-0.75,0.09,0.69
37,"ntv",0.34,12.5,29.93,30.82,2.6,0.43,1.79,-0.65
37,"ntv",0.62,16.36,30.49,32.06,35.9,0.53,65.68,-0.8
35,"ntv",0.66,5.07,32.37,31.16,60.49,1.1,53.21,-0.17
37,"ntv",0.41,14.62,29.05,30.71,61.09,0.52,78.09,-0.66
38,"ntv",0.48,13.27,32.92,32.11,17.67,0.56,24.34,-0.5
35,"ntv",0.28,37.11,28.31,27.1,110,0.61,93.41,0.05
30,"wtv",0.28,15.78,30.53,29.58,3.3,0.76,9.37,-0.63
36,"ntv",0.4,0.29,29.73,30.62,1.57,0.13,0.33,-0.97
38,"wtv",0.24,7.24,31.47,30.03,0.95,0.38,1.87,-0.11
35,"wtv",0.53,10.71,31.63,30.56,4.63,0.88,5.49,-0.51
37,"wtv",0.31,14.14,28.89,30.53,3.2,0.76,10.86,-0.62
31,"ntv",0.6,20.46,30.41,29.41,4.44,0.01,3.43,-0.52
39,"ntv",0.36,23.07,31.67,30.87,20.61,-0.07,18.14,-0.83
34,"ntv",0.19,9.65,31.49,30.2,414.4,1.1,168.35,-0.22
39,"ntv",0.34,44.98,32.2,32.93,611.58,0.77,391.91,-0.44
32,"ntv",0.29,17.42,33.79,33.2,246.74,0.88,202.07,-0.22
35,"ntv",0.4,2.94,34.22,33.87,3.16,0.13,4.19,0.49
31,"ntv",0.23,-3.14,33.13,32.26,0.77,-0.58,1.29,0.58
37,"ntv",0.53,10.86,30.97,32.54,20.78,0.8,28.95,-0.43
34,"ntv",0.68,15.44,31.12,30.39,35.71,0.7,40.63,-0.31
24,"wtv",0.12,10.67,33.02,32.51,8.37,-0.87,13.07,-0.14
30,"wtv",0.3,13.13,30.85,29.93,57.8,0.29,103.51,-0.58
34,"wtv",0.28,11.97,31.92,30.85,5.7,1.06,5.26,-0.35
35,"wtv",0.44,12.64,31.68,30.57,89.01,0.96,62.43,-0.2
37,"ntv",0.73,17.23,29.77,30.85,0.99,0.34,4.9,-0.57
37,"ntv",0.53,18.44,29.7,31.36,84.53,0.83,76.16,-0.39
36,"ntv",0.38,16.02,27.87,28.79,1.69,0.32,3.39,-0.68
30,"ntv",0.31,12.79,32.13,31.19,0,-0.94,0,0.45
31,"wtv",0.32,21.28,32.29,31.2,15.13,0.45,23.42,-0.47
31,"ntv",0.51,14.38,30.48,29.45,22.84,0.9,46.24,-0.48
38,"wtv",0.28,7.43,32.41,31.61,0.65,0.49,2.05,-0.47
30,"wtv",0.18,20.61,29.59,28.54,45.18,0.88,59.47,-0.36
37,"ntv",0.6,18.73,29.75,31.29,89.91,0.41,73.35,-0.81
34,"wtv",0.24,7.96,30.9,29.37,4.62,1.1,7.05,-0.29
24,"ntv",0.26,3.76,33.07,31.43,2.22,-0.1,2.29,-0.85
39,"ntv",0.36,23.41,32.6,31.94,78.41,0.96,73.64,-0.15
39,"ntv",0.32,1.93,33.7,33.47,5.8,-0.35,6.56,0.64
37,"ntv",0.82,4.34,31.6,32.52,1.28,0.19,0.86,-0.73
37,"wtv",0.29,10.71,31.51,30.58,2.03,0.7,3.72,-0.41
34,"ntv",0.36,19.01,31.96,30.57,21.69,0.99,17.44,-0.4
38,"ntv",0.41,10.47,31.01,29.87,0.91,0.59,0.44,-0.43
35,"ntv",0.4,16.51,29.68,28.5,2.44,0.67,3.87,-0.68
30,"wtv",0.31,9.65,31.09,30.14,25.97,0.65,36.61,-0.62
35,"wtv",0.51,10.09,31.65,30.57,24.99,0.91,21.4,-0.43
37,"ntv",0.74,11.34,30.06,31.36,1.42,0.08,1.31,-1.03
34,"wtv",0.28,19.06,30.38,29.28,19.81,0.88,30.69,-0.46
34,"ntv",0.12,22.39,31.61,30.26,8.9,0.4,7.63,0.01
37,"wtv",0.38,14.86,30.62,32.06,15.86,0.62,19.21,-0.12
39,"ntv",0.21,7.34,33.4,32.91,24.48,0.39,29.05,-0.46
34,"wtv",0.15,10.71,31.29,30.13,1.15,0.62,4.7,-0.45
34,"wtv",0.55,9.89,32.16,31.12,34.32,0.91,24.89,-0.38
35,"wtv",0.43,19.59,30.27,28.79,87.51,0.82,71.48,-0.53
39,"ntv",0.49,64.33,27.32,26.83,1108,0.78,449.99,-0.53
37,"ntv",0.3,5.79,30.21,31.47,0.52,0.05,0.34,-0.97
31,"ntv",0.19,13.61,30.17,28.81,23.49,0.7,22.19,-0.62
34,"wtv",0.39,12.45,31.12,30.04,30.62,1.08,22.69,-0.19
35,"wtv",0.28,-1.25,31.66,29.56,36.63,-0.06,34.7,-0.22
35,"wtv",0.43,18.44,30.73,29.1,13.59,0.63,25.68,-0.63
35,"wtv",0.3,10.04,30.95,29.46,4.43,1.02,5.86,-0.39
31,"ntv",0.31,-0.29,31.38,30.13,2.69,0.17,8.83,-0.4
35,"wtv",0.27,1.25,31.27,29.43,2.53,1.14,1.83,-0.06
38,"ntv",0.41,5.69,32.03,31.72,1.1,-0.08,1.6,-0.5
36,"ntv",0.72,4.2,31.9,32.99,0.5,-0.19,0.22,-0.67
31,"wtv",0.17,22.92,32.51,31.98,0.13,-0.43,0.04,0.76
37,"ntv",0.21,3.43,31.71,31.11,0.22,-0.25,0.69,0.33
30,"wtv",0.18,22.15,29.09,28.1,2.1,-0.97,4.23,0.41
34,"wtv",1.17,6.27,32.54,31.86,0,0.35,0.09,-0.85
30,"wtv",0.29,9.6,30.75,29.61,0.79,0.82,0.7,-0.56
30,"ntv",0.21,14.62,30.73,29.41,63.11,0.32,68.67,-0.44
31,"ntv",0.36,15.3,31.65,30.37,25.1,0.39,25.73,-0.72
36,"ntv",0.36,14.77,27.49,29.16,13.23,-0.2,19.3,0.04
37,"ntv",0.45,1.93,31.83,32.77,20.11,0.03,22.45,-0.49
37,"ntv",0.53,20.7,29.65,31.53,95.93,0.63,105.18,-0.66
34,"wtv",0.34,12.45,31.89,30.84,7.39,1.1,11.25,0.08
34,"wtv",0.51,21.48,31.08,30,0.98,0.61,1.06,-0.62
32,"ntv",0.06,20.66,31.92,31.11,5.13,0.3,5.49,-0.83
35,"ntv",0.35,7.43,31.75,30.34,8.99,0.81,14.42,-0.34
30,"wtv",0.31,12.98,30.98,30.03,31.37,-0.09,57.41,-0.23
34,"ntv",0.67,20.95,30.11,29.39,653.51,1.03,296.31,-0.35
38,"ntv",0.17,5.16,32.23,31.39,0.57,-0.22,1.27,0.16
37,"ntv",0.4,7.48,29.24,29.39,1.69,0.25,1.2,-1.01
31,"ntv",0.43,14.86,30.48,29.3,26.71,0.96,31.24,-0.16
34,"wtv",0.37,13.85,31.99,30.85,262.04,0.84,223.53,-0.41
36,"ntv",1.11,29.58,30.67,32.88,248.45,0.76,212.96,-0.63
32,"ntv",0.08,23.74,29.56,28.53,15.06,0.59,17.57,-0.64
37,"ntv",0.2,12.5,28.93,28.15,11.52,0.83,14.94,-0.41
39,"ntv",0.33,3.38,33.87,33.79,3.31,0.34,5.4,-0.49
32,"ntv",0.11,15.2,30.91,30.03,1.42,0.66,0.77,-0.75
32,"ntv",0.34,8.98,34.25,33.35,0.04,-0.09,0,-0.68
31,"wtv",0.32,15.35,32.68,31.4,8.39,0.57,7.89,-0.33
34,"ntv",0.4,6.76,31.91,30.47,0.37,0.05,0.57,-0.19
30,"ntv",0.62,20.51,29.36,28.67,0,-0.18,0,-0.17
37,"wtv",0.22,8.49,32.06,30.42,0.29,0.45,1.53,-0.47
36,"ntv",0.3,40.68,27.66,29.81,97.19,0.36,89.78,-0.74
34,"wtv",0.2,25.53,29.46,27.97,5.18,1.15,4.3,-0.1
34,"wtv",0.43,13.47,31.8,30.87,19.39,0.92,20.93,-0.52
34,"wtv",0.52,23.6,31.05,30.05,0.32,0.54,0.23,-0.69
36,"ntv",0.54,15.35,29.86,31.91,1.4,-0.61,1.91,0.81
32,"ntv",0.12,16.89,30.36,29.71,3.52,0.56,5.51,-0.73
36,"ntv",0.86,7.38,32.79,34.41,102.06,0.86,112.52,-0.28
30,"wtv",0.17,20.85,28.55,27.53,42.65,0.1,64.21,-0.83
34,"wtv",0.35,13.37,31.9,30.82,0.96,0.45,0.19,-0.75
24,"wtv",0.05,10.38,30.99,30.42,14.18,0.26,15.93,-0.49
37,"wtv",0.44,7.67,30.99,31.95,10.71,0.36,5.71,-0.82
32,"ntv",0.06,5.65,33.21,32,2.16,0.47,1.99,-0.27
36,"ntv",0.36,5.74,29.75,30.35,1.59,-0.03,10.91,-0.44
38,"wtv",0.33,10.57,32.13,31.11,0.88,0.71,1.23,-0.34
24,"wtv",0.06,11.97,31.55,31.04,3.59,-1.01,7.3,-0.09
34,"wtv",0.21,17.13,31.53,30.65,23.24,1.03,19.49,-0.36
36,"wtv",0.72,16.94,29.31,31.2,38.7,-0.41,45.68,0.32
36,"ntv",0.43,8.06,28.69,29.56,1.17,0.45,0.59,-0.41
38,"wtv",0.3,9.07,32.21,31.39,1.19,-0.36,2.11,0.11
32,"ntv",0.07,6.95,32.92,32.22,0.12,0.46,0.02,-0.03
24,"wtv",0.06,7.14,32.41,31.36,15.38,0.44,20.8,-0.58
38,"wtv",0.54,14,32.92,32.08,0.57,0.87,1.71,-0.39
37,"ntv",0.23,1.35,32.03,31.26,0.97,-0.04,0.66,-0.44
37,"wtv",0.31,14.91,29.1,30.31,106.76,0.74,139.23,-0.48
24,"ntv",0.06,8.25,30.15,29.21,1.75,-0.09,0.17,-0.51
35,"wtv",0.43,0.92,32.54,31.46,0.22,0.43,0.63,0
37,"wtv",0.2,7.96,31.04,29.85,0.13,0.51,0.61,-0.21
31,"wtv",0.49,15.2,31.39,30.43,3,0.39,7.32,-0.79
31,"ntv",0.31,19.88,31.5,30.37,10.37,0.19,15.57,-0.21
37,"wtv",0.27,14.09,30.14,29.22,0.09,0.48,0.45,-0.74
30,"wtv",0.18,19.59,29.26,28.15,1.17,-0.97,1.12,0.4
39,"ntv",0.28,13.42,32.23,31.53,83.45,0.63,95.86,-0.52
30,"wtv",0.28,17.9,29.92,28.8,2.03,0.81,2.7,-0.46
38,"ntv",1.19,1.93,32.98,32.06,0.22,0.1,0.3,0.21
32,"ntv",0.17,12.5,31.11,30.91,0.87,-0.18,1.01,0.97
35,"wtv",0.28,16.41,29.92,27.94,28.99,1.11,28.15,-0.12
32,"ntv",0.33,14.09,33.68,32.76,0,0.59,0.07,-0.37
37,"ntv",0.72,14.48,29.78,30.65,0.48,0.4,2.34,-0.87
34,"ntv",0.51,18.48,32.67,31.32,65.6,1.03,43.2,0.15
34,"wtv",0.13,11.34,30.93,30.18,20.1,0.62,23.69,0.05
38,"wtv",0.26,11.15,31.21,29.78,0.09,0.47,1.36,0.56
37,"wtv",0.38,12.84,30.44,31.6,3.72,0.57,7.86,-0.47
37,"ntv",0.56,7.82,30.97,31.44,1.05,0.01,1.06,-0.47
34,"wtv",0.37,10.18,32.02,30.85,0.22,1.12,3.12,0.04
35,"ntv",0.43,17.71,30.85,29.68,21.68,0.75,24.9,-0.47
35,"wtv",0.13,9.89,30.85,29.37,19.91,1.03,17.25,-0.3
24,"wtv",0.07,5.94,32.42,31.41,7.16,-0.8,11.65,-0.04
38,"wtv",0.31,9.27,31.67,30.16,12.71,0.51,22.61,-0.18
37,"ntv",0.53,13.27,28.77,29.16,0.11,0.06,0.33,-0.9
32,"ntv",1.36,38.61,31.37,29.47,70.39,0.82,60.51,-0.35
39,"ntv",0.51,20.03,31.75,31.13,175.75,0.85,190.06,-0.12
30,"ntv",0.35,1.98,31.56,31.25,0.14,-0.27,0,-0.04
35,"wtv",0.28,19.5,29.28,27.49,13.31,1.14,13.69,0.02
39,"ntv",0.14,4.49,33.67,32.48,5.55,0.07,9.89,-0.72
35,"ntv",0.43,17.76,30.85,29.72,0.95,0.68,7.89,-0.48
36,"ntv",0.42,1.64,31.11,31.97,0.26,0.12,0.25,-0.66
38,"ntv",0.28,10.14,31.69,30.84,8.08,0.73,8.28,-0.61
35,"ntv",0.11,64.62,26.79,25.59,1598.3,0.91,1050.8,-0.35
38,"ntv",0.28,17.62,30.26,29.08,0.76,-0.27,0.8,0.8
34,"wtv",0.15,11.97,31.34,30.28,0.72,0.06,2.11,-0.87
37,"wtv",0.26,6.8,32.18,30.8,6.55,0.41,7.9,-0.74
39,"ntv",0.81,42.03,32.4,32.98,1015.2,0.81,467.08,-0.51
34,"ntv",0.71,18.73,32.7,31.58,10.38,0.94,13.53,-0.39
31,"wtv",0.32,22.25,32.1,31,0.95,0.6,1.11,-0.1
38,"wtv",0.26,2.65,32.24,30.25,1.75,0.51,2.8,0.6
30,"ntv",0.32,2.22,31.58,30.37,0,0.05,0,-0.39
32,"ntv",0.27,-0.63,34.53,33.98,1.85,0,1.79,-0.2
38,"wtv",0.33,10.96,32.11,31.13,0.98,0.73,2.16,-0.34
34,"wtv",0.22,12.36,31.66,30.56,7.37,0.69,8.12,-0.26
31,"wtv",0.57,27.32,30.41,29.95,27.9,0.88,46.62,-0.6
34,"wtv",0.23,17.86,30.76,29.06,52.82,0.83,62.06,-0.63
32,"wtv",0.09,13.75,32.41,31.29,12.03,0.45,18.15,-0.43
32,"ntv",0.43,18.82,32.71,32.09,0.05,-0.11,0.13,0.84
30,"wtv",0.3,15.44,30.69,29.8,17.79,-0.73,28.37,-0.08
36,"ntv",0.43,6.08,29.9,31.58,2.28,-0.11,3.4,-0.95
37,"wtv",0.28,11.39,30.45,29.15,0.07,0.33,0.12,-0.42
32,"wtv",0.08,13.27,32.42,31.53,3.83,0.57,3.64,-0.29
31,"ntv",2.36,21.57,31.58,30.33,10.4,0.97,11.97,-0.11
34,"wtv",0.21,6.95,31.92,30.69,22.28,0.8,21.13,-0.16
31,"ntv",1.09,19.45,32.89,32,5.71,0.85,9.03,-0.48
34,"wtv",0.14,15.25,31.53,30.59,3.97,1.12,2.45,-0.2
34,"wtv",0.42,12.74,31.56,30.13,28.83,1.11,22.16,-0.1
35,"wtv",0.28,8.64,30.64,29.06,30.13,1.12,15,-0.12
36,"ntv",0.99,20.37,31.98,33.8,84.48,0.44,61.92,-0.71
38,"wtv",0.31,10.47,31.57,30.27,2.03,0.92,1.47,-0.24
37,"wtv",0.36,12.69,30.52,32.21,0.11,-0.76,1.35,0.76
34,"wtv",0.28,12.4,31.9,30.85,19.3,1.06,20.21,-0.29
30,"ntv",0.54,9.22,31.46,30.77,0,0.14,0.02,-0.79
38,"ntv",0.42,7.34,31.62,30.76,0.63,-0.04,0.53,-0.61
37,"ntv",0.59,3.23,31.26,32.45,0.75,-0.16,0.94,-0.81
37,"wtv",0.35,10.76,28.98,30.51,7.87,-0.2,8.13,-0.44
39,"ntv",0.28,51.69,28.76,30.02,206.37,0.82,183.05,-0.45
38,"wtv",0.4,12.64,30.76,29.74,0.84,0.72,0.59,-0.43
31,"ntv",0.36,3.76,32.44,31.95,1.39,-0.13,1.9,-0.22
34,"wtv",0.23,17.37,30.78,29.06,42.39,0.84,45.24,-0.62
36,"ntv",0.78,13.71,29.96,31.29,18.83,0.42,27.28,-0.74
35,"wtv",0.43,8.11,31.9,30.74,2.47,0.55,2.65,0.07
35,"wtv",0.44,12.4,31.83,30.85,1.9,0.53,2.32,0.15
31,"ntv",0.67,20.41,31.41,31.16,2.7,0.29,3.74,-1.04
35,"wtv",0.25,20.46,30.75,29.54,13.84,0.56,15.11,0.18
37,"wtv",0.33,11.92,29.15,30.71,2.55,0.82,6.58,-0.38
37,"ntv",0.53,19.79,29.06,30.17,1.66,0.03,0.24,-0.91
30,"wtv",0.29,13.66,30.39,29.13,0.39,-0.22,0.49,-0.84
31,"wtv",0.34,25.1,31.7,30.5,14.23,0.87,13.61,-0.33
37,"wtv",0.33,15.15,30.01,31.53,4.88,-0.63,5.71,0.86
31,"wtv",0.14,17.28,31.05,29.46,8.76,0.91,10.87,-0.35
36,"wtv",0.73,16.26,29.41,30.69,18.04,0.75,28.31,-0.56
37,"ntv",0.52,18.44,29.42,31.03,50.82,0.78,56.18,-0.55
32,"ntv",0.2,14.19,31.98,31.11,1.76,0.57,2.24,-0.03
36,"ntv",0.54,2.75,30.41,30.76,1.29,0.26,0.14,-0.55
36,"ntv",0.53,4.83,29.55,30.58,7.51,-0.08,1.43,-0.76
37,"ntv",0.68,14.86,31.98,33.71,155.21,0.81,153.98,-0.43
34,"ntv",0.34,-1.59,33.12,32.28,20.74,1.1,12.97,-0.14
31,"wtv",0.35,22.68,32.1,31,2.26,0.94,4.55,-0.17
38,"wtv",0.31,11.78,30.62,29.73,0.4,0.92,0.59,-0.23
35,"ntv",0.48,17.23,30.91,29.01,95.77,1.05,58.24,0.01
37,"wtv",0.23,9.36,32.13,30.34,0.35,0.28,0.64,-0.43
38,"wtv",0.49,14.62,31.89,31.26,0.55,0.79,0.57,-0.31
31,"ntv",0.27,0.19,32.3,30.15,3.47,0.23,4.83,-0.76
37,"wtv",0.26,7.19,32.36,31.04,1.61,0.41,3.75,-0.86
31,"ntv",0.25,8.78,31.55,31.26,0.39,-0.18,4.02,1.07
37,"wtv",0.27,9.75,32.26,31.19,7.37,0.87,6.02,0.14
37,"wtv",0.34,10.71,28.87,30.2,15.04,0.85,23.08,-0.3
34,"wtv",0.2,8.16,31.65,30.37,14.8,0.91,4.09,0.05
39,"ntv",0.57,-2.32,34.1,31.83,1.18,0.23,4.27,0
38,"ntv",1.85,38.13,31.08,29.96,89.25,0.57,119.32,-0.33
35,"ntv",0.37,14.29,31.89,30.74,1.21,0.75,3.87,-0.62
31,"wtv",0.77,15.01,31.98,30.29,4.41,-0.9,4.99,-0.14
37,"wtv",0.24,8.64,32.16,30.87,6.3,0.9,7.97,-0.04
37,"ntv",0.57,14.67,30.84,32.02,0.34,0.29,5.65,-0.63
35,"wtv",0.43,14.62,31.03,29.21,9.32,0.53,11.88,-0.6
31,"wtv",0.24,23.5,31.61,30.48,19.89,0.85,28.22,-0.38
34,"ntv",1.32,25.34,30.95,29.81,245.29,0.9,177.11,-0.45
31,"wtv",0.58,23.5,30.6,30.21,32.3,0.85,43.21,-0.65
31,"ntv",0.16,11.25,31.29,30.16,2.18,0.48,1.13,-0.62
36,"ntv",0.41,9.89,28.95,29.29,7.06,0.06,10.26,-0.33
34,"wtv",0.41,12.74,31.53,30.07,8.57,1.14,8.86,-0.1
30,"wtv",0.18,19.06,29.65,28.67,3.31,0.9,5.14,-0.4
38,"ntv",0.28,7.19,33.16,32.41,1.87,0.32,3.13,-0.99
37,"ntv",0.52,16.17,28.16,29.61,41.88,0.52,61.37,-0.68
35,"wtv",0.2,23.45,28.87,27.1,10.12,1.13,9.48,-0.16
31,"wtv",0.73,17.71,31.74,30.18,11.66,0.79,20.63,-0.27
29,"ntv",0.42,2.61,27.97,26.01,40.46,0.6,55.61,-0.48
37,"wtv",0.26,21.91,28.9,30.11,155.13,0.89,167.86,-0.33
38,"ntv",0.29,13.13,31.97,31,65.99,0.57,73.52,-0.48
24,"wtv",0.07,6.32,32.46,31.39,4.27,0.78,11.94,-0.39
34,"ntv",0.24,14.67,31.12,29.94,162.2,0.74,134.1,-0.51
37,"wtv",0.2,14.58,29.57,30.87,105.12,0.86,147.6,-0.38
37,"ntv",0.35,6.03,32.18,31.56,0.18,-0.04,0.23,0.36
36,"wtv",0.78,6.9,30.03,31.33,9.94,0.18,17.31,-0.84
35,"wtv",0.53,8.3,31.66,30.29,6.08,0.74,8.18,-0.16
38,"ntv",0.54,9.31,32.03,30.76,0.25,-0.72,1.11,0.64
35,"wtv",0.43,7.24,32.25,31.44,4.07,0.57,3.59,0.13
31,"ntv",0.28,16.65,31.38,30.36,76.83,0.75,91.41,-0.72
36,"ntv",0.52,2.36,30.71,31.27,0.17,-0.24,0.25,-1.03
30,"wtv",0.18,19.79,29.57,28.48,30.82,0.84,43.22,-0.48
35,"wtv",0.23,19.5,29.28,27.35,35.08,0.54,29.42,-0.16
35,"ntv",0.51,19.11,31.34,30.39,0.89,0.61,2.15,-0.7
39,"ntv",0.18,2.94,33.99,33.74,3.53,-0.18,2.53,-0.32
39,"ntv",0.53,20.03,32.82,32.29,157.37,0.6,187.74,-0.16
37,"wtv",0.23,13.75,31.34,29.78,3.61,0.53,4.09,-0.55
37,"ntv",0.43,11.92,31.07,32.62,46.28,0.4,39.28,0.08
38,"ntv",0.2,1.06,30.88,29.04,0.31,0.11,0.67,0.19
36,"ntv",0.33,15.59,27.78,28.99,1.06,-0.26,0.48,-1.03
32,"ntv",0.11,5.16,33.96,33.08,0.56,0.46,0.33,0.07
35,"wtv",0.45,21.67,31.07,29.59,14.83,0.67,23.66,0.07
